date,item_id,category,units_sold,is_holiday
2016-01-06,STORE_19,Izakaya,4,0
2016-01-06,STORE_20,Bar/Cocktail,11,0
2016-01-06,STORE_21,Cafe/Sweets,31,0
2016-01-06,STORE_22,Izakaya,11,0
2016-01-06,STORE_23,Bar/Cocktail,17,0
2016-01-06,STORE_24,Izakaya,17,0
2016-01-06,STORE_25,Cafe/Sweets,10,0
2016-01-06,STORE_26,Cafe/Sweets,41,0
2016-01-06,STORE_27,Dining bar,35,0
2016-01-06,STORE_28,Okonomiyaki/Monja/Teppanyaki,9,0
2016-01-06,STORE_29,Bar/Cocktail,13,0
2016-01-07,STORE_01,Izakaya,52,0
2016-01-07,STORE_02,Cafe/Sweets,5,0
2016-01-07,STORE_03,Bar/Cocktail,17,0
2016-01-07,STORE_04,Okonomiyaki/Monja/Teppanyaki,5,0
2016-01-07,STORE_05,Bar/Cocktail,18,0
2016-01-07,STORE_06,Dining bar,6,0
2016-01-07,STORE_07,Izakaya,38,0
2016-01-07,STORE_08,Izakaya,19,0
2016-01-07,STORE_09,Izakaya,27,0
2016-01-07,STORE_10,Japanese food,24,0
2016-01-07,STORE_11,Bar/Cocktail,21,0
2016-01-07,STORE_12,Izakaya,15,0
2016-01-07,STORE_13,Izakaya,45,0
2016-01-07,STORE_14,Italian/French,12,0
2016-01-07,STORE_15,Izakaya,8,0
2016-01-07,STORE_16,Italian/French,15,0
2016-01-07,STORE_17,Cafe/Sweets,14,0
2016-01-07,STORE_18,Cafe/Sweets,27,0
2016-01-07,STORE_19,Izakaya,14,0
2016-01-07,STORE_20,Bar/Cocktail,12,0
2016-01-07,STORE_21,Cafe/Sweets,28,0
2016-01-07,STORE_22,Izakaya,6,0
2016-01-07,STORE_23,Bar/Cocktail,18,0
2016-01-07,STORE_24,Izakaya,15,0
2016-01-07,STORE_25,Cafe/Sweets,11,0
2016-01-07,STORE_26,Cafe/Sweets,30,0
2016-01-07,STORE_27,Dining bar,29,0
2016-01-07,STORE_28,Okonomiyaki/Monja/Teppanyaki,21,0
2016-01-07,STORE_29,Bar/Cocktail,18,0
2016-01-08,STORE_01,Izakaya,47,0
2016-01-08,STORE_02,Cafe/Sweets,5,0
2016-01-08,STORE_03,Bar/Cocktail,14,0
2016-01-08,STORE_04,Okonomiyaki/Monja/Teppanyaki,5,0
2016-01-08,STORE_05,Bar/Cocktail,18,0
2016-01-08,STORE_06,Dining bar,5,0
2016-01-08,STORE_07,Izakaya,13,0
2016-01-08,STORE_08,Izakaya,38,0
2016-01-08,STORE_09,Izakaya,41,0
2016-01-08,STORE_10,Japanese food,25,0
2016-01-08,STORE_11,Bar/Cocktail,22,0
2016-01-08,STORE_12,Izakaya,36,0
2016-01-08,STORE_13,Izakaya,57,0
2016-01-08,STORE_14,Italian/French,31,0
2016-01-08,STORE_15,Izakaya,19,0
2016-01-08,STORE_16,Italian/French,30,0
2016-01-08,STORE_17,Cafe/Sweets,12,0
2016-01-08,STORE_18,Cafe/Sweets,23,0
2016-01-08,STORE_19,Izakaya,29,0
2016-01-08,STORE_20,Bar/Cocktail,4,0
2016-01-08,STORE_21,Cafe/Sweets,22,0
2016-01-08,STORE_22,Izakaya,57,0
2016-01-08,STORE_23,Bar/Cocktail,30,0
2016-01-08,STORE_24,Izakaya,31,0
2016-01-08,STORE_25,Cafe/Sweets,5,0
2016-01-08,STORE_26,Cafe/Sweets,39,0
2016-01-08,STORE_27,Dining bar,34,0
2016-01-08,STORE_28,Okonomiyaki/Monja/Teppanyaki,16,0
2016-01-08,STORE_29,Bar/Cocktail,18,0
2016-01-08,STORE_30,Dining bar,15,0
2016-01-09,STORE_01,Izakaya,71,0
2016-01-09,STORE_02,Cafe/Sweets,10,0
2016-01-09,STORE_03,Bar/Cocktail,84,0
2016-01-09,STORE_04,Okonomiyaki/Monja/Teppanyaki,25,0
2016-01-09,STORE_05,Bar/Cocktail,47,0
2016-01-09,STORE_06,Dining bar,20,0
2016-01-09,STORE_07,Izakaya,31,0
2016-01-09,STORE_08,Izakaya,60,0
2016-01-09,STORE_09,Izakaya,50,0
2016-01-09,STORE_10,Japanese food,20,0
2016-01-09,STORE_11,Bar/Cocktail,41,0
2016-01-09,STORE_12,Izakaya,44,0
2016-01-09,STORE_13,Izakaya,57,0
2016-01-09,STORE_14,Italian/French,29,0
2016-01-09,STORE_15,Izakaya,33,0
2016-01-09,STORE_16,Italian/French,47,0
2016-01-09,STORE_17,Cafe/Sweets,24,0
2016-01-09,STORE_18,Cafe/Sweets,44,0
2016-01-09,STORE_19,Izakaya,31,0
2016-01-09,STORE_20,Bar/Cocktail,11,0
2016-01-09,STORE_21,Cafe/Sweets,62,0
2016-01-09,STORE_22,Izakaya,44,0
2016-01-09,STORE_23,Bar/Cocktail,20,0
2016-01-09,STORE_24,Izakaya,22,0
2016-01-09,STORE_25,Cafe/Sweets,15,0
2016-01-09,STORE_26,Cafe/Sweets,99,0
2016-01-09,STORE_27,Dining bar,57,0
2016-01-09,STORE_28,Okonomiyaki/Monja/Teppanyaki,26,0
2016-01-09,STORE_29,Bar/Cocktail,19,0
2016-01-09,STORE_30,Dining bar,39,0
2016-01-10,STORE_01,Izakaya,32,0
2016-01-10,STORE_02,Cafe/Sweets,18,0
2016-01-10,STORE_03,Bar/Cocktail,36,0
2016-01-10,STORE_05,Bar/Cocktail,47,0
2016-01-10,STORE_06,Dining bar,21,0
2016-01-10,STORE_07,Izakaya,23,0
2016-01-10,STORE_08,Izakaya,43,0
2016-01-10,STORE_09,Izakaya,42,0
2016-01-10,STORE_10,Japanese food,18,0
2016-01-10,STORE_11,Bar/Cocktail,48,0
2016-01-10,STORE_12,Izakaya,25,0
2016-01-10,STORE_13,Izakaya,50,0
2016-01-10,STORE_14,Italian/French,37,0
2016-01-10,STORE_15,Izakaya,29,0
2016-01-10,STORE_16,Italian/French,59,0
2016-01-10,STORE_17,Cafe/Sweets,25,0
2016-01-10,STORE_18,Cafe/Sweets,76,0
2016-01-10,STORE_19,Izakaya,27,0
2016-01-10,STORE_20,Bar/Cocktail,17,0
2016-01-10,STORE_21,Cafe/Sweets,50,0
2016-01-10,STORE_22,Izakaya,61,0
2016-01-10,STORE_23,Bar/Cocktail,20,0
2016-01-10,STORE_24,Izakaya,55,0
2016-01-10,STORE_25,Cafe/Sweets,8,0
2016-01-10,STORE_26,Cafe/Sweets,104,0
2016-01-10,STORE_27,Dining bar,48,0
2016-01-10,STORE_28,Okonomiyaki/Monja/Teppanyaki,26,0
2016-01-10,STORE_29,Bar/Cocktail,14,0
2016-01-10,STORE_30,Dining bar,37,0
2016-01-11,STORE_01,Izakaya,39,1
2016-01-11,STORE_02,Cafe/Sweets,9,1
2016-01-11,STORE_03,Bar/Cocktail,32,1
2016-01-11,STORE_05,Bar/Cocktail,43,1
2016-01-11,STORE_06,Dining bar,24,1
2016-01-11,STORE_07,Izakaya,31,1
2016-01-11,STORE_08,Izakaya,25,1
2016-01-11,STORE_09,Izakaya,19,1
2016-01-11,STORE_10,Japanese food,20,1
2016-01-11,STORE_11,Bar/Cocktail,43,1
2016-01-11,STORE_12,Izakaya,7,1
2016-01-11,STORE_13,Izakaya,19,1
2016-01-11,STORE_14,Italian/French,30,1
2016-01-11,STORE_15,Izakaya,28,1
2016-01-11,STORE_16,Italian/French,25,1
2016-01-11,STORE_17,Cafe/Sweets,22,1
2016-01-11,STORE_18,Cafe/Sweets,40,1
2016-01-11,STORE_19,Izakaya,15,1
2016-01-11,STORE_20,Bar/Cocktail,18,1
2016-01-11,STORE_21,Cafe/Sweets,41,1
2016-01-11,STORE_22,Izakaya,5,1
2016-01-11,STORE_23,Bar/Cocktail,5,1
2016-01-11,STORE_24,Izakaya,36,1
2016-01-11,STORE_25,Cafe/Sweets,6,1
2016-01-11,STORE_26,Cafe/Sweets,75,1
2016-01-11,STORE_27,Dining bar,40,1
2016-01-11,STORE_28,Okonomiyaki/Monja/Teppanyaki,21,1
2016-01-11,STORE_29,Bar/Cocktail,19,1
2016-01-11,STORE_30,Dining bar,35,1
2016-01-12,STORE_01,Izakaya,44,0
2016-01-12,STORE_02,Cafe/Sweets,9,0
2016-01-12,STORE_03,Bar/Cocktail,12,0
2016-01-12,STORE_05,Bar/Cocktail,21,0
2016-01-12,STORE_06,Dining bar,2,0
2016-01-12,STORE_07,Izakaya,13,0
2016-01-12,STORE_08,Izakaya,39,0
2016-01-12,STORE_09,Izakaya,25,0
2016-01-12,STORE_10,Japanese food,19,0
2016-01-12,STORE_11,Bar/Cocktail,39,0
2016-01-12,STORE_12,Izakaya,6,0
2016-01-12,STORE_13,Izakaya,14,0
2016-01-12,STORE_14,Italian/French,15,0
2016-01-12,STORE_15,Izakaya,8,0
2016-01-12,STORE_16,Italian/French,27,0
2016-01-12,STORE_17,Cafe/Sweets,11,0
2016-01-12,STORE_18,Cafe/Sweets,9,0
2016-01-12,STORE_19,Izakaya,13,0
2016-01-12,STORE_20,Bar/Cocktail,6,0
2016-01-12,STORE_21,Cafe/Sweets,19,0
2016-01-12,STORE_22,Izakaya,10,0
2016-01-12,STORE_23,Bar/Cocktail,17,0
2016-01-12,STORE_24,Izakaya,54,0
2016-01-12,STORE_25,Cafe/Sweets,6,0
2016-01-12,STORE_26,Cafe/Sweets,20,0
2016-01-12,STORE_27,Dining bar,21,0
2016-01-12,STORE_28,Okonomiyaki/Monja/Teppanyaki,9,0
2016-01-12,STORE_29,Bar/Cocktail,12,0
2016-01-12,STORE_30,Dining bar,11,0
2016-01-13,STORE_01,Izakaya,24,0
2016-01-13,STORE_02,Cafe/Sweets,11,0
2016-01-13,STORE_03,Bar/Cocktail,18,0
2016-01-13,STORE_04,Okonomiyaki/Monja/Teppanyaki,6,0
2016-01-13,STORE_05,Bar/Cocktail,11,0
2016-01-13,STORE_06,Dining bar,17,0
2016-01-13,STORE_07,Izakaya,18,0
2016-01-13,STORE_08,Izakaya,31,0
2016-01-13,STORE_09,Izakaya,31,0
2016-01-13,STORE_10,Japanese food,21,0
2016-01-13,STORE_11,Bar/Cocktail,24,0
2016-01-13,STORE_12,Izakaya,1,0
2016-01-13,STORE_13,Izakaya,4,0
2016-01-13,STORE_14,Italian/French,18,0
2016-01-13,STORE_15,Izakaya,22,0
2016-01-13,STORE_16,Italian/French,8,0
2016-01-13,STORE_17,Cafe/Sweets,5,0
2016-01-13,STORE_18,Cafe/Sweets,33,0
2016-01-13,STORE_19,Izakaya,15,0
2016-01-13,STORE_20,Bar/Cocktail,16,0
2016-01-13,STORE_21,Cafe/Sweets,27,0
2016-01-13,STORE_22,Izakaya,29,0
2016-01-13,STORE_23,Bar/Cocktail,6,0
2016-01-13,STORE_24,Izakaya,18,0
2016-01-13,STORE_25,Cafe/Sweets,9,0
2016-01-13,STORE_26,Cafe/Sweets,24,0
2016-01-13,STORE_27,Dining bar,23,0
2016-01-13,STORE_28,Okonomiyaki/Monja/Teppanyaki,19,0
2016-01-13,STORE_29,Bar/Cocktail,15,0
2016-01-13,STORE_30,Dining bar,7,0
2016-01-14,STORE_01,Izakaya,15,0
2016-01-14,STORE_02,Cafe/Sweets,4,0
2016-01-14,STORE_03,Bar/Cocktail,19,0
2016-01-14,STORE_04,Okonomiyaki/Monja/Teppanyaki,15,0
2016-01-14,STORE_05,Bar/Cocktail,20,0
2016-01-14,STORE_06,Dining bar,4,0
2016-01-14,STORE_07,Izakaya,27,0
2016-01-14,STORE_08,Izakaya,30,0
2016-01-14,STORE_09,Izakaya,25,0
2016-01-14,STORE_10,Japanese food,18,0
2016-01-14,STORE_11,Bar/Cocktail,27,0
2016-01-14,STORE_12,Izakaya,7,0
2016-01-14,STORE_13,Izakaya,27,0
2016-01-14,STORE_14,Italian/French,5,0
2016-01-14,STORE_15,Izakaya,6,0
2016-01-14,STORE_16,Italian/French,21,0
2016-01-14,STORE_17,Cafe/Sweets,8,0
2016-01-14,STORE_18,Cafe/Sweets,20,0
2016-01-14,STORE_19,Izakaya,10,0
2016-01-14,STORE_20,Bar/Cocktail,20,0
2016-01-14,STORE_21,Cafe/Sweets,29,0
2016-01-14,STORE_22,Izakaya,22,0
2016-01-14,STORE_23,Bar/Cocktail,10,0
2016-01-14,STORE_24,Izakaya,22,0
2016-01-14,STORE_25,Cafe/Sweets,7,0
2016-01-14,STORE_26,Cafe/Sweets,57,0
2016-01-14,STORE_27,Dining bar,15,0
2016-01-14,STORE_28,Okonomiyaki/Monja/Teppanyaki,22,0
2016-01-14,STORE_29,Bar/Cocktail,15,0
2016-01-14,STORE_30,Dining bar,17,0
2016-01-15,STORE_01,Izakaya,55,0
2016-01-15,STORE_02,Cafe/Sweets,8,0
2016-01-15,STORE_03,Bar/Cocktail,21,0
2016-01-15,STORE_04,Okonomiyaki/Monja/Teppanyaki,16,0
2016-01-15,STORE_05,Bar/Cocktail,21,0
2016-01-15,STORE_06,Dining bar,27,0
2016-01-15,STORE_07,Izakaya,22,0
2016-01-15,STORE_08,Izakaya,44,0
2016-01-15,STORE_09,Izakaya,50,0
2016-01-15,STORE_10,Japanese food,18,0
2016-01-15,STORE_11,Bar/Cocktail,29,0
2016-01-15,STORE_12,Izakaya,32,0
2016-01-15,STORE_13,Izakaya,56,0
2016-01-15,STORE_14,Italian/French,20,0
2016-01-15,STORE_15,Izakaya,30,0
2016-01-15,STORE_16,Italian/French,49,0
2016-01-15,STORE_17,Cafe/Sweets,7,0
2016-01-15,STORE_18,Cafe/Sweets,25,0
2016-01-15,STORE_19,Izakaya,25,0
2016-01-15,STORE_20,Bar/Cocktail,9,0
2016-01-15,STORE_21,Cafe/Sweets,32,0
2016-01-15,STORE_22,Izakaya,21,0
2016-01-15,STORE_23,Bar/Cocktail,30,0
2016-01-15,STORE_24,Izakaya,18,0
2016-01-15,STORE_25,Cafe/Sweets,4,0
2016-01-15,STORE_26,Cafe/Sweets,21,0
2016-01-15,STORE_27,Dining bar,31,0
2016-01-15,STORE_28,Okonomiyaki/Monja/Teppanyaki,20,0
2016-01-15,STORE_29,Bar/Cocktail,25,0
2016-01-15,STORE_30,Dining bar,32,0
2016-01-16,STORE_01,Izakaya,56,0
2016-01-16,STORE_02,Cafe/Sweets,13,0
2016-01-16,STORE_03,Bar/Cocktail,41,0
2016-01-16,STORE_04,Okonomiyaki/Monja/Teppanyaki,18,0
2016-01-16,STORE_05,Bar/Cocktail,50,0
2016-01-16,STORE_06,Dining bar,15,0
2016-01-16,STORE_07,Izakaya,35,0
2016-01-16,STORE_08,Izakaya,47,0
2016-01-16,STORE_09,Izakaya,39,0
2016-01-16,STORE_10,Japanese food,19,0
2016-01-16,STORE_11,Bar/Cocktail,44,0
2016-01-16,STORE_12,Izakaya,49,0
2016-01-16,STORE_13,Izakaya,51,0
2016-01-16,STORE_14,Italian/French,35,0
2016-01-16,STORE_15,Izakaya,23,0
2016-01-16,STORE_16,Italian/French,50,0
2016-01-16,STORE_17,Cafe/Sweets,31,0
2016-01-16,STORE_18,Cafe/Sweets,56,0
2016-01-16,STORE_19,Izakaya,31,0
2016-01-16,STORE_20,Bar/Cocktail,16,0
2016-01-16,STORE_21,Cafe/Sweets,67,0
2016-01-16,STORE_22,Izakaya,52,0
2016-01-16,STORE_23,Bar/Cocktail,24,0
2016-01-16,STORE_24,Izakaya,51,0
2016-01-16,STORE_25,Cafe/Sweets,16,0
2016-01-16,STORE_26,Cafe/Sweets,86,0
2016-01-16,STORE_27,Dining bar,42,0
2016-01-16,STORE_28,Okonomiyaki/Monja/Teppanyaki,30,0
2016-01-16,STORE_29,Bar/Cocktail,11,0
2016-01-16,STORE_30,Dining bar,36,0
2016-01-17,STORE_01,Izakaya,39,0
2016-01-17,STORE_02,Cafe/Sweets,3,0
2016-01-17,STORE_03,Bar/Cocktail,49,0
2016-01-17,STORE_04,Okonomiyaki/Monja/Teppanyaki,9,0
2016-01-17,STORE_05,Bar/Cocktail,49,0
2016-01-17,STORE_06,Dining bar,29,0
2016-01-17,STORE_07,Izakaya,29,0
2016-01-17,STORE_08,Izakaya,32,0
2016-01-17,STORE_09,Izakaya,44,0
2016-01-17,STORE_10,Japanese food,19,0
2016-01-17,STORE_11,Bar/Cocktail,24,0
2016-01-17,STORE_12,Izakaya,26,0
2016-01-17,STORE_13,Izakaya,21,0
2016-01-17,STORE_14,Italian/French,2,0
2016-01-17,STORE_15,Izakaya,25,0
2016-01-17,STORE_16,Italian/French,56,0
2016-01-17,STORE_17,Cafe/Sweets,24,0
2016-01-17,STORE_18,Cafe/Sweets,88,0
2016-01-17,STORE_19,Izakaya,15,0
2016-01-17,STORE_20,Bar/Cocktail,14,0
2016-01-17,STORE_21,Cafe/Sweets,48,0
2016-01-17,STORE_22,Izakaya,43,0
2016-01-17,STORE_23,Bar/Cocktail,16,0
2016-01-17,STORE_24,Izakaya,27,0
2016-01-17,STORE_25,Cafe/Sweets,14,0
2016-01-17,STORE_26,Cafe/Sweets,94,0
2016-01-17,STORE_27,Dining bar,24,0
2016-01-17,STORE_29,Bar/Cocktail,22,0
2016-01-17,STORE_30,Dining bar,21,0
2016-01-18,STORE_01,Izakaya,26,0
2016-01-18,STORE_02,Cafe/Sweets,9,0
2016-01-18,STORE_03,Bar/Cocktail,12,0
2016-01-18,STORE_04,Okonomiyaki/Monja/Teppanyaki,17,0
2016-01-18,STORE_05,Bar/Cocktail,11,0
2016-01-18,STORE_06,Dining bar,13,0
2016-01-18,STORE_07,Izakaya,24,0
2016-01-18,STORE_08,Izakaya,37,0
2016-01-18,STORE_09,Izakaya,16,0
2016-01-18,STORE_10,Japanese food,15,0
2016-01-18,STORE_11,Bar/Cocktail,30,0
2016-01-18,STORE_12,Izakaya,6,0
2016-01-18,STORE_13,Izakaya,43,0
2016-01-18,STORE_14,Italian/French,8,0
2016-01-18,STORE_15,Izakaya,5,0
2016-01-18,STORE_16,Italian/French,12,0
2016-01-18,STORE_17,Cafe/Sweets,12,0
2016-01-18,STORE_18,Cafe/Sweets,35,0
2016-01-18,STORE_19,Izakaya,16,0
2016-01-18,STORE_20,Bar/Cocktail,2,0
2016-01-18,STORE_21,Cafe/Sweets,18,0
2016-01-18,STORE_22,Izakaya,15,0
2016-01-18,STORE_23,Bar/Cocktail,20,0
2016-01-18,STORE_24,Izakaya,14,0
2016-01-18,STORE_25,Cafe/Sweets,9,0
2016-01-18,STORE_26,Cafe/Sweets,9,0
2016-01-18,STORE_27,Dining bar,25,0
2016-01-18,STORE_28,Okonomiyaki/Monja/Teppanyaki,8,0
2016-01-18,STORE_29,Bar/Cocktail,11,0
2016-01-18,STORE_30,Dining bar,1,0
2016-01-19,STORE_01,Izakaya,42,0
2016-01-19,STORE_02,Cafe/Sweets,16,0
2016-01-19,STORE_03,Bar/Cocktail,26,0
2016-01-19,STORE_04,Okonomiyaki/Monja/Teppanyaki,8,0
2016-01-19,STORE_05,Bar/Cocktail,20,0
2016-01-19,STORE_06,Dining bar,13,0
2016-01-19,STORE_07,Izakaya,20,0
2016-01-19,STORE_08,Izakaya,45,0
2016-01-19,STORE_09,Izakaya,29,0
2016-01-19,STORE_10,Japanese food,25,0
2016-01-19,STORE_11,Bar/Cocktail,19,0
2016-01-19,STORE_12,Izakaya,12,0
2016-01-19,STORE_13,Izakaya,52,0
2016-01-19,STORE_14,Italian/French,28,0
2016-01-19,STORE_15,Izakaya,19,0
2016-01-19,STORE_16,Italian/French,21,0
2016-01-19,STORE_17,Cafe/Sweets,12,0
2016-01-19,STORE_18,Cafe/Sweets,17,0
2016-01-19,STORE_19,Izakaya,19,0
2016-01-19,STORE_20,Bar/Cocktail,6,0
2016-01-19,STORE_21,Cafe/Sweets,29,0
2016-01-19,STORE_22,Izakaya,27,0
2016-01-19,STORE_23,Bar/Cocktail,29,0
2016-01-19,STORE_24,Izakaya,24,0
2016-01-19,STORE_25,Cafe/Sweets,13,0
2016-01-19,STORE_26,Cafe/Sweets,41,0
2016-01-19,STORE_27,Dining bar,14,0
2016-01-19,STORE_28,Okonomiyaki/Monja/Teppanyaki,8,0
2016-01-19,STORE_29,Bar/Cocktail,12,0
2016-01-19,STORE_30,Dining bar,6,0
2016-01-20,STORE_01,Izakaya,7,0
2016-01-20,STORE_02,Cafe/Sweets,8,0
2016-01-20,STORE_03,Bar/Cocktail,18,0
2016-01-20,STORE_04,Okonomiyaki/Monja/Teppanyaki,9,0
2016-01-20,STORE_05,Bar/Cocktail,17,0
2016-01-20,STORE_06,Dining bar,11,0
2016-01-20,STORE_07,Izakaya,18,0
2016-01-20,STORE_08,Izakaya,27,0
2016-01-20,STORE_09,Izakaya,41,0
2016-01-20,STORE_10,Japanese food,21,0
2016-01-20,STORE_11,Bar/Cocktail,11,0
2016-01-20,STORE_12,Izakaya,24,0
2016-01-20,STORE_13,Izakaya,19,0
2016-01-20,STORE_14,Italian/French,27,0
2016-01-20,STORE_15,Izakaya,10,0
2016-01-20,STORE_16,Italian/French,20,0
2016-01-20,STORE_17,Cafe/Sweets,9,0
2016-01-20,STORE_18,Cafe/Sweets,20,0
2016-01-20,STORE_19,Izakaya,28,0
2016-01-20,STORE_20,Bar/Cocktail,15,0
2016-01-20,STORE_21,Cafe/Sweets,28,0
2016-01-20,STORE_22,Izakaya,19,0
2016-01-20,STORE_23,Bar/Cocktail,22,0
2016-01-20,STORE_24,Izakaya,14,0
2016-01-20,STORE_25,Cafe/Sweets,4,0
2016-01-20,STORE_26,Cafe/Sweets,47,0
2016-01-20,STORE_27,Dining bar,33,0
